AA,210,https://www.washington.edu/cec/a/AA210A1143.html,Aeronautics & Astronautics A A 210 A&nbsp;&nbsp;Raymond Golingo &nbsp;&nbsp;Assistant Professor&nbsp;&nbsp; WI16
AA,210,https://www.washington.edu/cec/a/AA210A1371.html,Aeronautics & Astronautics A A 210 A&nbsp;&nbsp;Marco Salviato &nbsp;&nbsp;Assistant Professor&nbsp;&nbsp; SP16
AA,210,https://www.washington.edu/cec/a/AA210A1462.html,Aeronautics & Astronautics A A 210 A&nbsp;&nbsp;Raymond Golingo &nbsp;&nbsp;Lecturer&nbsp;&nbsp; SU15
AA,210,https://www.washington.edu/cec/a/AA210A3177.html,Aeronautics & Astronautics A A 210 A&nbsp;&nbsp;Raymond Golingo &nbsp;&nbsp;Assistant Professor&nbsp;&nbsp; AU15
AA,260,https://www.washington.edu/cec/a/AA260A1389.html,Aeronautics & Astronautics A A 260 A&nbsp;&nbsp;James Hermanson &nbsp;&nbsp;Professor&nbsp;&nbsp; SP16
AA,260,https://www.washington.edu/cec/a/AA260A1463.html,Aeronautics & Astronautics A A 260 A&nbsp;&nbsp;Carl Knowlen &nbsp;&nbsp;Associate Professor&nbsp;&nbsp; SU15
AA,301,https://www.washington.edu/cec/a/AA301A1137.html,Aeronautics & Astronautics A A 301 A&nbsp;&nbsp;Dana Dabiri &nbsp;&nbsp;Associate Professor&nbsp;&nbsp; WI16
AA,302,https://www.washington.edu/cec/a/AA302A1397.html,Aeronautics & Astronautics A A 302 A&nbsp;&nbsp;Dana Dabiri &nbsp;&nbsp;Associate Professor&nbsp;&nbsp; SP16
AA,310,https://www.washington.edu/cec/a/AA310A4301.html,Aeronautics & Astronautics A A 310 A&nbsp;&nbsp;James Hermanson &nbsp;&nbsp;Professor&nbsp;&nbsp; AU15
AA,311,https://www.washington.edu/cec/a/AA311A4302.html,Aeronautics & Astronautics A A 311 A&nbsp;&nbsp;Carl Knowlen &nbsp;&nbsp;Associate Professor&nbsp;&nbsp; AU15
AA,312,https://www.washington.edu/cec/a/AA312A1120.html,Aeronautics & Astronautics A A 312 A&nbsp;&nbsp;Setthivoine You &nbsp;&nbsp;Assistant Professor&nbsp;&nbsp; WI16
AA,320,https://www.washington.edu/cec/a/AA320A4330.html,Aeronautics & Astronautics A A 320 A&nbsp;&nbsp;Adam Bruckner &nbsp;&nbsp;Professor&nbsp;&nbsp; AU15
AA,321,https://www.washington.edu/cec/a/AA321A1145.html,Aeronautics & Astronautics A A 321 A&nbsp;&nbsp;Adam Bruckner &nbsp;&nbsp;Professor&nbsp;&nbsp; WI16
AA,322,https://www.washington.edu/cec/a/AA322A1391.html,Aeronautics & Astronautics A A 322 A&nbsp;&nbsp;Adam Bruckner &nbsp;&nbsp;Professor&nbsp;&nbsp; SP16
AA,331,https://www.washington.edu/cec/a/AA331A1117.html,Aeronautics & Astronautics A A 331 A&nbsp;&nbsp;Jinkyu Yang &nbsp;&nbsp;Assistant Professor&nbsp;&nbsp; WI16
AA,332,https://www.washington.edu/cec/a/AA332A1374.html,Aeronautics & Astronautics A A 332 A&nbsp;&nbsp;Jinkyu Yang &nbsp;&nbsp;Assistant Professor&nbsp;&nbsp; SP16
AA,360,https://www.washington.edu/cec/a/AA360A1393.html,Aeronautics & Astronautics A A 360 A&nbsp;&nbsp;Mitsuru Kurosaka &nbsp;&nbsp;Professor&nbsp;&nbsp; SP16
AA,400,https://www.washington.edu/cec/a/AA400A1135.html,Aeronautics & Astronautics A A 400 A&nbsp;&nbsp;James Hermanson &nbsp;&nbsp;Professor&nbsp;&nbsp; WI16
AA,402,https://www.washington.edu/cec/a/AA402A4335.html,Aeronautics & Astronautics A A 402 A&nbsp;&nbsp;Antonino Ferrante &nbsp;&nbsp;Associate Professor&nbsp;&nbsp; AU15
AA,405,https://www.washington.edu/cec/a/AA405A4304.html,Aeronautics & Astronautics A A 405 A&nbsp;&nbsp;Uri Shumlak &nbsp;&nbsp;Professor&nbsp;&nbsp; AU15
AA,410,https://www.washington.edu/cec/a/AA410A1149.html,Aeronautics & Astronautics A A 410 A&nbsp;&nbsp;Kristi Hill &nbsp;&nbsp;Professor&nbsp;&nbsp; WI16
AA,410,https://www.washington.edu/cec/a/AA410AA1123.html,Aeronautics & Astronautics A A 410 AA&nbsp;&nbsp;Eli Livne &nbsp;&nbsp;Professor&nbsp;&nbsp; WI16
AA,410,https://www.washington.edu/cec/a/AA410AC1134.html,Aeronautics & Astronautics A A 410 AC&nbsp;&nbsp;Christopher Lum &nbsp;&nbsp;Assistant Professor&nbsp;&nbsp; WI16
AA,411,https://www.washington.edu/cec/a/AA411A1380.html,Aeronautics & Astronautics A A 411 A&nbsp;&nbsp;Kristi Hill &nbsp;&nbsp;Professor&nbsp;&nbsp; SP16
AA,411,https://www.washington.edu/cec/a/AA411AA1372.html,Aeronautics & Astronautics A A 411 AA&nbsp;&nbsp;Eli Livne &nbsp;&nbsp;Professor&nbsp;&nbsp; SP16
AA,411,https://www.washington.edu/cec/a/AA411AB1377.html,Aeronautics & Astronautics A A 411 AB&nbsp;&nbsp;Robert Breidenthal &nbsp;&nbsp;Professor&nbsp;&nbsp; SP16
AA,411,https://www.washington.edu/cec/a/AA411AC1367.html,Aeronautics & Astronautics A A 411 AC&nbsp;&nbsp;Christopher Lum &nbsp;&nbsp;Assistant Professor&nbsp;&nbsp; SP16
